"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-03T22:33:08.861Z[Europe/London]","0.0","6.4"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-03T22:33:15.311Z[Europe/London]","0.0","0.96"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-03T22:33:16.280Z[Europe/London]","0.0","0.58"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-03T22:33:16.866Z[Europe/London]","0.0","1.21"
