"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-03T22:33:08.861Z[Europe/London]","0.0","6.4"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-03T22:33:15.311Z[Europe/London]","0.0","0.96"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-03T22:33:16.280Z[Europe/London]","0.0","0.58"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-03T22:33:16.866Z[Europe/London]","0.0","1.21"
"User CRUD test","This will create a new user","SUCCESS","2023-01-03T22:33:20.761Z[Europe/London]","0.0","0.88"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-03T22:33:21.640Z[Europe/London]","0.0","0.51"
"User CRUD test","This will update a new user","SUCCESS","2023-01-03T22:33:22.151Z[Europe/London]","0.0","0.99"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-03T22:33:23.139Z[Europe/London]","0.0","0.99"
